CustomerID,Recency,Frequency,Monetary,Satisfaction,Gender,Age,Churn
geonu00@daum.net,27,9,2670520,4.222222222222222,M,34,0
geonugim@gmail.com,76,5,4823600,7.4,F,24,0
ggang@gmail.com,39,2,147960,4.5,M,39,0
ggim@gmail.com,109,10,1351820,5.5,F,53,1
ggim@hanmail.net,48,6,637200,7.0,F,47,0
gimareum@naver.com,57,8,1400860,4.125,M,23,0
gimboram@naver.com,41,5,5441200,6.4,F,51,0
gimeunju@kakao.com,69,6,139170,6.333333333333333,F,46,0
gimgeonu@kakao.com,7,8,5831000,5.625,M,42,0
gimgyeongsu@gmail.com,134,5,1793850,6.0,F,59,1
gimjeongung@naver.com,65,5,3017520,4.4,M,54,0
gimjinho@hanmail.net,78,9,3686340,4.222222222222222,F,42,0
gimjiu@gmail.com,24,4,472500,6.5,F,40,0
gimjungsu@kakao.com,72,6,1884900,5.166666666666667,M,64,0
gimminseog@naver.com,71,9,1939880,6.111111111111111,F,69,0
gimseojun@hanmail.net,50,2,17940,9.5,M,63,0
gimseonyeong@gmail.com,65,7,910650,5.428571428571429,F,53,0
gimsiu@kakao.com,80,8,1314780,4.875,F,61,0
gimsunog@gmail.com,64,20,1746680,5.9,F,32,0
gimsunog@gmail.com,64,20,1746680,5.9,F,48,0
gimyejin@hanmail.net,47,7,935180,4.857142857142857,F,67,0
gimyeweon@kakao.com,26,7,948270,5.285714285714286,M,52,0
gjo@kakao.com,12,8,1981800,5.625,F,59,0
godonghyeon@gmail.com,32,6,2811970,7.5,F,65,0
gwangsujang@gmail.com,260,4,647360,4.25,M,65,1
gweonseongmin@hanmail.net,111,3,1179000,6.666666666666667,M,63,1
gweonyujin@naver.com,27,6,2129960,6.5,F,50,0
gyeonghyi19@daum.net,166,4,1132950,4.5,F,40,1
gyeonghyijeong@gmail.com,50,5,151850,5.2,M,44,0
gyeongja21@hanmail.net,28,6,852340,5.833333333333333,M,22,0
gyeongsu76@naver.com,35,9,952600,4.777777777777778,M,25,0
gyeongsubag@naver.com,62,5,5454200,4.8,F,58,0
gyeongsug04@naver.com,43,5,565000,5.4,F,31,0
gyeongsug60@daum.net,75,9,4946540,5.444444444444445,M,32,0
gyeongsugsong@daum.net,38,4,5188000,5.25,M,26,0
hanseonghun@gmail.com,8,12,3882480,6.583333333333333,M,65,0
hanyeongceol@gmail.com,7,7,1182200,5.142857142857143,M,46,0
haseongjin@hanmail.net,183,2,124000,4.5,M,43,1
hayun40@hanmail.net,8,5,893000,4.4,M,39,0
hayungim@kakao.com,7,9,4459850,4.666666666666667,F,20,0
hbag@hanmail.net,68,10,1284470,6.7,F,27,0
heohyeonji@daum.net,9,4,395900,6.75,M,19,0
heosujin@daum.net,124,6,3530900,7.5,F,60,1
hi@daum.net,48,4,276000,5.5,M,53,0
hongjiu@naver.com,19,4,388600,8.25,M,26,0
hongjiweon@naver.com,33,6,2510000,4.333333333333333,M,62,0
hongmijeong@kakao.com,280,2,437000,8.0,F,35,1
hongminjun@hanmail.net,113,9,11011900,6.333333333333333,F,42,1
hongogsun@daum.net,28,2,44940,7.5,F,33,0
hongseojun@gmail.com,9,10,3793200,4.6,M,44,0
hwangjiweon@kakao.com,167,3,394500,6.0,F,47,1
hyejin10@daum.net,175,3,311400,3.3333333333333335,F,26,1
hyeonji23@kakao.com,76,5,1669000,7.6,M,59,0
hyeonji66@gmail.com,64,2,191000,6.5,M,57,0
hyeonjunbag@kakao.com,23,7,6561950,5.428571428571429,M,50,0
hyeonjunbag@naver.com,10,8,3110110,5.0,M,53,0
hyeonjunyun@hanmail.net,97,5,4327000,6.0,F,37,1
hyeonsug58@daum.net,21,3,620000,7.0,M,25,0
hyeonsugi@hanmail.net,13,10,815010,7.0,M,49,0
hyeonsugjang@kakao.com,38,6,659300,5.833333333333333,F,30,0
hyeonui@naver.com,33,9,1702740,5.111111111111111,F,39,0
hyeonusin@gmail.com,188,6,4096250,4.833333333333333,F,35,1
iareum@daum.net,24,13,6239590,5.846153846153846,F,21,0
ibag@kakao.com,28,4,858800,6.75,M,23,0
iboram@kakao.com,11,7,1278620,5.857142857142857,F,51,0
ibyeongceol@kakao.com,19,32,27765280,5.8125,M,44,0
ibyeongceol@kakao.com,19,32,27765280,5.8125,M,30,0
icoe@gmail.com,48,7,1058800,3.2857142857142856,F,46,0
icoe@kakao.com,53,4,173340,4.75,M,45,0
igim@daum.net,291,2,993000,5.5,M,29,1
ihyeonjeong@hanmail.net,52,3,3306500,5.666666666666667,F,42,0
ihyeonjeong@naver.com,23,7,7510700,6.285714285714286,M,48,0
ii@hanmail.net,60,3,504000,6.666666666666667,F,55,0
ijeongsu@gmail.com,44,9,3031100,7.222222222222222,F,34,0
ijia@gmail.com,43,5,797900,3.6,F,61,0
ijihyeon@kakao.com,74,4,5352000,7.0,F,20,0
ijihyeon@naver.com,40,9,4708850,5.555555555555555,M,24,0
ijungsu@hanmail.net,93,4,654980,2.5,F,21,1
ijunhyeog@gmail.com,68,6,1027930,4.0,M,29,0
iminjae@gmail.com,157,4,676000,5.75,F,41,1
iminsu@kakao.com,185,4,148800,5.75,M,59,1
imisug@daum.net,50,6,2419340,4.833333333333333,F,66,0
imyeongsug@naver.com,44,4,496300,6.75,F,57,0
isanghyeon@naver.com,43,5,478000,5.2,M,25,0
iseohyeon@naver.com,108,6,2291850,6.0,M,27,1
iseojun@kakao.com,206,5,766000,6.6,M,52,1
iseonghun@daum.net,68,9,7669740,3.888888888888889,F,59,0
iyujin@daum.net,17,6,3204500,5.666666666666667,M,19,0
jaehyeongu@hanmail.net,13,7,659370,6.428571428571429,M,33,0
jbag@hanmail.net,78,2,249000,6.5,F,43,0
jeongho24@kakao.com,166,1,6510,1.0,M,34,1
jeonghogo@naver.com,8,8,3683210,5.75,M,60,0
jeonghojin@naver.com,145,3,193510,5.666666666666667,M,50,1
jeonghun57@gmail.com,88,4,335400,6.75,F,60,0
jeonghungim@naver.com,106,5,277570,6.8,M,54,1
jeonghyigim@kakao.com,33,3,1780000,5.333333333333333,M,30,0
jeonghyisong@naver.com,19,13,4940910,6.3076923076923075,M,43,0
jeongja42@naver.com,49,8,2352000,5.5,M,40,0
jeongja64@naver.com,101,11,8780550,5.454545454545454,F,23,1
jeongjagang@daum.net,14,5,860800,7.4,F,19,0
jeongjagim@naver.com,29,30,5867300,3.7333333333333334,M,36,0
jeongjagim@naver.com,29,30,5867300,3.7333333333333334,F,44,0
jeongjai@kakao.com,13,1,144000,9.0,M,27,0
jeongnam03@hanmail.net,46,6,2135700,5.333333333333333,F,29,0
jeongnami@kakao.com,66,7,2133200,5.571428571428571,M,39,0
jeongsig81@hanmail.net,38,6,668180,4.833333333333333,F,59,0
jeongsigi@gmail.com,23,7,4007800,7.142857142857143,F,22,0
jeongsu24@daum.net,15,6,487980,2.6666666666666665,M,31,0
jeongsu98@daum.net,18,10,1799300,5.9,M,31,0
jeongsuggim@kakao.com,13,6,1072680,5.5,M,65,0
jeongsugi@daum.net,8,8,1090170,6.0,F,19,0
jeongsun62@kakao.com,126,6,1560600,3.6666666666666665,M,47,1
jeongsunhwang@hanmail.net,51,10,5103860,5.6,F,57,0
jeongsuni@hanmail.net,187,3,16650,3.6666666666666665,F,28,1
jeongungi@naver.com,41,11,5530100,4.909090909090909,F,38,0
jgim@naver.com,10,4,5510000,4.0,M,25,0
jhwang@hanmail.net,7,9,2202050,5.777777777777778,F,18,0
jia28@naver.com,7,7,3741180,5.0,M,23,0
jieungim@naver.com,32,6,1500000,5.333333333333333,M,44,0
jieungwag@hanmail.net,80,5,4205250,6.6,M,37,0
jihunseo@naver.com,105,10,4331200,6.1,M,41,1
jihye63@hanmail.net,28,6,2293880,5.166666666666667,F,62,0
jihyeongim@gmail.com,21,8,5628130,5.5,F,50,0
jihyeonyun@naver.com,9,9,5824900,5.0,F,35,0
jimin14@kakao.com,11,9,1562270,7.555555555555555,M,40,0
jinhogim@hanmail.net,90,7,1185500,5.857142857142857,M,42,0
jiweon62@naver.com,172,2,122000,5.0,F,36,1
jiweoni@gmail.com,320,1,120000,4.0,F,54,1
jiyeongim@daum.net,10,6,763850,6.833333333333333,M,33,0
jiyeongim@kakao.com,35,10,6101400,6.5,F,53,0
jiyeongmun@gmail.com,120,4,443320,5.75,M,26,1
jiyeongno@hanmail.net,11,6,743600,4.5,M,69,0
jiyeono@naver.com,13,10,810600,4.9,M,43,0
jo@daum.net,38,4,413200,6.5,M,18,0
jongsugim@hanmail.net,38,6,916000,5.5,F,31,0
jungsugu@daum.net,19,9,3387800,6.0,F,63,0
junseo62@gmail.com,158,4,302000,3.25,F,37,1
junseoca@gmail.com,52,8,3766330,6.0,F,68,0
junseogim@kakao.com,37,10,2935640,5.2,M,46,0
junyeong94@gmail.com,45,7,561930,5.857142857142857,M,50,0
kan@daum.net,28,11,5588460,4.818181818181818,F,41,0
kgim@naver.com,89,8,677900,5.875,F,28,0
ki@gmail.com,39,8,930770,6.875,M,29,0
lgim@gmail.com,54,4,1060250,6.5,M,29,0
lgim@kakao.com,201,6,638000,6.666666666666667,F,27,1
li@daum.net,86,5,5486000,5.2,M,47,0
mgim@naver.com,45,10,2373130,5.8,F,67,0
mhong@naver.com,7,6,320850,3.5,F,47,0
migyeonggwag@kakao.com,114,8,2191400,6.5,M,32,1
migyeongi@kakao.com,27,7,1473740,6.142857142857143,M,48,0
mijeong94@hanmail.net,139,8,634960,4.75,F,46,1
minjihong@daum.net,67,6,670280,4.833333333333333,F,46,0
minjii@kakao.com,100,10,7284310,5.5,M,30,1
minjun84@hanmail.net,72,9,1280650,4.333333333333333,M,55,0
minjunyang@naver.com,20,8,1387040,5.75,M,58,0
minseo01@naver.com,67,7,1620300,5.571428571428571,F,23,0
minseog21@naver.com,58,5,388250,4.8,M,34,0
minseog88@gmail.com,70,7,2095110,5.285714285714286,F,47,0
minseoggim@daum.net,14,7,573880,4.285714285714286,M,32,0
minseoggim@gmail.com,20,5,1490800,3.6,M,54,0
minsugim@naver.com,158,5,6554680,5.6,M,27,1
misug54@kakao.com,137,9,5719100,7.222222222222222,F,23,1
misug77@naver.com,93,5,274200,4.8,F,41,1
misugbag@gmail.com,134,8,9901600,3.5,M,33,1
misuggim@daum.net,182,2,426980,7.5,F,20,1
misughan@naver.com,55,9,13543500,5.111111111111111,M,36,0
miyeong91@gmail.com,16,6,2286300,3.5,F,23,0
miyeongan@naver.com,26,7,505250,5.0,M,63,0
mu@naver.com,25,6,3167110,5.666666666666667,F,64,0
muneunseo@kakao.com,78,6,1388100,5.5,M,59,0
mungyeongsu@naver.com,78,6,247490,6.333333333333333,M,26,0
myeongsug33@kakao.com,89,3,1052000,5.666666666666667,F,23,0
myeongsuggim@naver.com,34,5,922600,6.4,F,40,0
neom@gmail.com,183,8,3260000,4.625,F,32,1
nna@naver.com,57,1,1250000,3.0,F,23,0
ogim@kakao.com,13,6,5007000,6.666666666666667,F,65,0
ogjagim@gmail.com,52,10,7931960,4.8,F,21,0
ogjai@naver.com,13,6,2518000,6.833333333333333,M,21,0
ogsun42@daum.net,8,8,647650,4.625,M,56,0
ogsun93@naver.com,12,9,2926270,5.777777777777778,M,56,0
ojihun@gmail.com,15,8,2113000,6.0,F,53,0
ojinho@naver.com,76,6,659050,7.333333333333333,F,29,0
oo@naver.com,366,2,310000,2.5,M,55,1
osangho@naver.com,57,8,805670,5.25,M,45,0
pbag@gmail.com,36,10,3408800,3.3,F,63,0
pgim@gmail.com,40,4,34000,6.75,F,23,0
pgim@kakao.com,65,8,612340,5.5,M,53,0
pi@kakao.com,161,3,5119170,2.6666666666666665,F,56,1
pjeon@kakao.com,64,4,838850,5.0,M,40,0
qbag@naver.com,12,7,3505660,5.428571428571429,F,22,0
qi@daum.net,22,9,3141100,6.444444444444445,M,49,0
qyun@naver.com,34,9,1173200,7.333333333333333,M,59,0
rbae@naver.com,25,5,2579810,7.8,F,28,0
rseo@naver.com,19,28,3662380,4.857142857142857,M,44,0
rseo@naver.com,19,28,3662380,4.857142857142857,M,58,0
ryusubin@daum.net,12,3,6265000,4.333333333333333,F,34,0
ryusumin@hanmail.net,116,3,82500,8.333333333333334,F,22,1
sanghogim@gmail.com,39,6,1180920,4.666666666666667,M,36,0
sanghun22@daum.net,178,3,153000,8.0,M,38,1
sanghungim@daum.net,98,4,1618000,8.5,F,27,1
sanghunseo@gmail.com,183,2,1007000,4.5,F,47,1
sanghyeon00@kakao.com,172,4,522600,7.5,F,22,1
sanghyeon57@daum.net,22,7,1652000,6.142857142857143,F,55,0
sanghyeonbag@hanmail.net,185,2,174000,5.0,M,62,1
sbag@kakao.com,46,5,467300,5.6,M,46,0
sbag@naver.com,18,6,1010410,5.0,F,29,0
seohyeon17@daum.net,20,8,430110,3.5,M,38,0
seohyeon21@hanmail.net,16,9,3843180,4.888888888888889,M,62,0
seohyeonbag@daum.net,66,2,12000,4.5,F,66,0
seojun78@naver.com,64,6,3310200,8.333333333333334,M,34,0
seojungim@daum.net,100,9,1477000,5.666666666666667,M,55,1
seonghuno@naver.com,79,7,2109050,5.285714285714286,F,35,0
seonghyeon97@gmail.com,16,3,652000,7.333333333333333,M,69,0
seongjin87@daum.net,18,11,4954550,5.0,M,43,0
seongmingim@kakao.com,8,26,5629020,5.230769230769231,F,56,0
seongmingim@kakao.com,8,26,5629020,5.230769230769231,F,37,0
seongmingim@naver.com,63,5,5410000,6.0,M,42,0
seongsu03@gmail.com,9,12,4661250,5.583333333333333,M,63,0
seongsugim@daum.net,40,3,324200,5.0,M,65,0
seonyeong35@kakao.com,163,4,1740700,5.75,M,65,1
seonyeongcoe@hanmail.net,48,8,2222460,6.875,F,19,0
seoyeonbag@daum.net,8,4,6836000,5.5,M,63,0
seoyeong36@kakao.com,49,10,3627820,4.8,M,26,0
seoyeongweon@daum.net,41,5,3017500,5.0,F,24,0
seoyun00@gmail.com,243,3,180400,4.0,M,54,1
seoyun36@gmail.com,21,7,1104500,6.142857142857143,M,28,0
seoyun51@hanmail.net,58,3,400800,2.0,M,38,0
seoyunca@kakao.com,52,5,73090,7.2,M,19,0
seoyungim@kakao.com,102,5,3862000,7.4,M,21,1
seunghyeon08@kakao.com,33,9,1361600,3.111111111111111,M,42,0
seunghyeon57@gmail.com,68,3,710500,5.333333333333333,F,70,0
seunghyeon76@naver.com,34,10,2832980,4.2,F,57,0
seunghyeon90@hanmail.net,25,7,1201720,4.714285714285714,F,20,0
seungmin27@daum.net,90,7,907400,6.142857142857143,F,69,0
sgim@daum.net,50,3,3932950,5.0,F,20,0
sgim@kakao.com,89,4,379340,3.5,M,23,0
shan@hanmail.net,16,8,3773460,5.75,M,28,0
sheo@daum.net,273,3,560500,5.666666666666667,M,43,1
sheo@gmail.com,36,6,10998290,5.833333333333333,M,27,0
si@naver.com,24,9,764780,5.444444444444445,F,41,0
simgyeongja@gmail.com,90,5,433340,6.6,F,51,0
simyeongsu@gmail.com,108,7,1821950,4.285714285714286,M,25,1
sinbyeongceol@daum.net,57,7,637000,4.571428571428571,F,44,0
siu52@gmail.com,102,5,333000,4.8,M,60,1
songminsu@daum.net,126,4,542400,6.0,F,45,1
songseonyeong@naver.com,43,7,3283200,5.714285714285714,M,19,0
songyeeun@hanmail.net,60,8,1790800,4.625,F,68,0
sonseohyeon@gmail.com,39,11,8215670,5.909090909090909,M,26,0
ssong@hanmail.net,42,10,870470,5.0,M,64,0
subin41@gmail.com,133,8,819680,4.125,M,47,1
subin64@kakao.com,24,9,1806200,5.222222222222222,F,69,0
subini@daum.net,12,7,962500,4.0,F,52,0
sugja34@kakao.com,37,4,206360,8.25,M,43,0
sujin57@hanmail.net,61,7,11284280,4.428571428571429,F,23,0
sujingim@naver.com,28,10,3029980,6.6,F,44,0
sumin17@naver.com,13,5,744170,4.4,F,54,0
sumin20@daum.net,17,8,2580900,3.375,M,23,0
sumingim@hanmail.net,13,7,1912200,6.714285714285714,F,23,0
suminyang@gmail.com,21,9,1702500,6.0,M,41,0
sunjao@daum.net,46,8,977000,6.75,M,43,0
tgim@hanmail.net,115,4,220500,7.5,M,65,1
tgim@naver.com,72,7,401340,5.714285714285714,M,59,0
ubag@naver.com,42,7,3563000,3.2857142857142856,M,25,0
ugim@hanmail.net,10,36,17954440,5.666666666666667,M,31,0
ugim@hanmail.net,10,36,17954440,5.666666666666667,M,66,0
ujo@gmail.com,39,8,2204600,6.5,F,19,0
usim@hanmail.net,14,7,1331800,7.0,F,30,0
uyang@naver.com,77,4,576200,3.0,F,24,0
vbag@gmail.com,35,5,6761850,5.4,F,24,0
vgim@daum.net,46,12,6372000,7.416666666666667,F,26,0
vgim@kakao.com,91,9,4244300,4.666666666666667,F,67,1
vi@naver.com,17,6,277930,4.166666666666667,F,43,0
vjeong@kakao.com,137,4,419000,4.75,M,20,1
vyang@naver.com,40,5,1440980,3.8,M,33,0
wbag@hanmail.net,23,6,1460000,3.3333333333333335,F,58,0
wgim@daum.net,90,7,420180,3.857142857142857,M,54,0
wgu@kakao.com,37,8,2311530,3.125,M,48,0
wi@gmail.com,9,10,1862640,6.0,F,30,0
wi@kakao.com,37,9,959370,5.444444444444445,F,30,0
xbag@kakao.com,100,1,196000,8.0,M,57,1
xgim@daum.net,12,7,166850,7.857142857142857,F,68,0
xi@kakao.com,46,9,7876000,6.111111111111111,F,31,0
yan@gmail.com,29,6,7935510,6.833333333333333,F,63,0
yangdoyun@naver.com,16,8,4671300,5.375,F,66,0
yangsumin@hanmail.net,19,6,3510500,5.166666666666667,M,39,0
yeeun04@kakao.com,35,7,1269000,4.571428571428571,F,56,0
yeeungang@daum.net,111,8,3184600,5.5,F,29,1
yeeungang@gmail.com,40,5,516900,4.8,M,57,0
yeeunryu@gmail.com,154,5,561070,5.0,M,62,1
yeji85@kakao.com,7,7,4512800,4.857142857142857,F,22,0
yeongceol40@gmail.com,17,3,361050,4.333333333333333,F,34,0
yeonggilgim@hanmail.net,11,7,1376650,4.142857142857143,M,36,0
yeonghwanno@gmail.com,87,9,534750,6.333333333333333,M,60,0
yeonghwansin@hanmail.net,115,3,2167200,5.666666666666667,M,66,1
yeongjabaeg@naver.com,261,3,380160,7.666666666666667,M,58,1
yeongjin39@kakao.com,14,9,2100340,5.888888888888889,F,35,0
yeongjin68@gmail.com,96,1,3000,3.0,M,53,1
yeongmi24@gmail.com,27,6,659580,5.166666666666667,M,48,0
yeongmigim@naver.com,29,6,1670000,6.166666666666667,M,19,0
yeongmii@naver.com,22,3,5341960,4.666666666666667,F,35,0
yeongsig52@daum.net,18,8,919800,5.125,M,63,0
yeongsigi@daum.net,84,7,13011000,7.142857142857143,F,66,0
yeongsigi@kakao.com,26,7,1601000,5.285714285714286,F,64,0
yeongsu07@gmail.com,34,7,1864510,4.285714285714286,M,28,0
yeongsu18@gmail.com,47,7,3446810,5.714285714285714,F,42,0
yeongsu50@naver.com,119,5,4558000,4.8,M,20,1
yeongsu71@kakao.com,43,3,2776510,7.333333333333333,M,61,0
yeongsu99@naver.com,26,10,9123450,5.7,F,23,0
yeongsuggim@daum.net,11,7,756250,7.0,F,50,0
yeongsuggim@naver.com,66,5,474000,7.8,F,56,0
yeongsugjang@gmail.com,27,8,1040000,5.625,F,43,0
yeongsun26@gmail.com,38,6,677550,5.166666666666667,M,63,0
yeongsun69@kakao.com,235,4,3762200,6.0,F,42,1
yeongsungim@daum.net,113,7,3718500,6.571428571428571,M,56,1
yeweon37@naver.com,33,6,1741000,5.5,F,18,0
yeweonsim@kakao.com,277,6,1639370,4.833333333333333,M,59,1
ygang@hanmail.net,51,7,5546660,4.857142857142857,M,37,0
ygim@gmail.com,44,11,2231900,4.2727272727272725,M,47,0
ygim@naver.com,176,2,716680,4.5,M,62,1
yi@hanmail.net,17,7,2319000,5.571428571428571,F,22,0
yi@kakao.com,64,12,3879510,4.916666666666667,F,39,0
yji@gmail.com,17,12,3339700,6.166666666666667,F,33,0
yubyeongceol@hanmail.net,56,8,6902690,4.25,M,37,0
yujin55@kakao.com,18,5,5655000,6.0,F,32,0
yujinseong@naver.com,257,4,829410,7.75,M,70,1
yuneunseo@gmail.com,33,4,417600,6.0,F,59,0
yunseo87@daum.net,66,9,723700,4.333333333333333,M,22,0
yunseogim@naver.com,99,3,446000,6.333333333333333,M,57,1
yunsunog@gmail.com,78,3,234000,5.333333333333333,M,60,0
zbag@gmail.com,8,8,1681190,4.5,M,29,0
zgim@gmail.com,18,12,2835430,5.25,M,53,0
zgim@kakao.com,35,8,1233480,4.5,F,39,0
zgo@gmail.com,26,9,1522000,6.222222222222222,M,36,0
